"content","label"
"#FreeKashmir #FreeKashmir   #Kashmir #Kashmir  #AzadKashmir #AzadKashmir  #IndianOccupiedKashmir #IndianOccupiedKashmir  #AJK #AJK  #Genocide #Genocide  #JammuGenocide #JammuGenocide  #FreePalestine #FreePalestine  #Palestine #Palestine  #FloodsInPakistan #FloodsInPakistan  #UnitedNations #UnitedNations","Negative"
"Don't do these Tableeg Ijtima's because it harm our gen Z. 
Yes! This is good, to do this shit! what happened on 15 August by you traitor's?  #FreeKashmir #FreeKashmir   #traitors #traitors  #Kashmirundersiege #Kashmirundersiege","Negative"
"Salaam all, #AlAqsaUnderAttack #AlAqsaUnderAttack  #AlAqsaCallsMuslimArmies #AlAqsaCallsMuslimArmies  #freegaza #freegaza  #freepalestine #freepalestine   #freekashmir #freekashmir   #freepakistan #freepakistan  #freerohingiyamuslims #freerohingiyamuslims  #IndianMuslimsUnderAttack #IndianMuslimsUnderAttack  #freeuyghurs #freeuyghurs Massalaam
Suhail","Negative"
"#FreeJammu #FreeJammu &  #FreeKashmir #FreeKashmir  's lieutenant governor  -- banned 25 books under a sweeping criminal law, targeting works by leading authors & scholars as part of a broader clampdown on media & dissent in the disputed territory @NikkeiAsia @NikkeiAsia  https://trib.al/jk7oZHn https://","Negative"
"#Free_Manipur #Free_Manipur  #FreeKhalistan #FreeKhalistan   #FreeKashmir #FreeKashmir","Negative"
"کشمیر چاہتے ہو؟ غزہ جیسی قربانی دینی ہو گی!  #FreeKashmir #FreeKashmir   #FreePalestine #FreePalestine  #Independence #Independence  #srinagar #srinagar","Negative"
"Kashmir is not free.
It’s occupied.
Its people live under guns and silence—
yet their spirit endures.

You can bury voices,
but not forever.
Kashmir will rise.  #FreeKashmir #FreeKashmir   #KashmirWillRise #KashmirWillRise  #KashmirUnderOccupation #KashmirUnderOccupation  #VoiceForKashmir #VoiceForKashmir","Negative"
"#Kashmir #Kashmir and #Palestine #Palestine : The story of two occupations #FreePalestine #FreePalestine   #FreeKashmir #FreeKashmir   #India #India  #Hindutva #Hindutva  #Israel #Israel  #Zionism #Zionism","Negative"
"15 August – Black Day in Kashmir While India celebrates its independence, Kashmir mourns decades of occupation, oppression, and broken UN promises. #BlackDay #BlackDay  #Kashmir #Kashmir  #HumanRights #HumanRights   #FreeKashmir #FreeKashmir   #15August #15August  #IndependenceDay2025 #IndependenceDay2025  #15August2025 #15August2025","Negative"
"15 August – Black Day in Kashmir While India celebrates its independence, Kashmir mourns decades of occupation, oppression, and broken UN promises. #BlackDay #BlackDay  #Kashmir #Kashmir  #HumanRights #HumanRights   #FreeKashmir #FreeKashmir   #15August #15August  #IndependenceDay2025 #IndependenceDay2025  #15August2025 #15August2025","Negative"
"With love for #Pakistani #Pakistani Liberals who finds Pakistan behind every wrong in Indian occupied Kashmir and Kashmiris.

PS: btw Pakistan is behind all the wrong in Kashmiris in Pakistan.  #FreeKashmir #FreeKashmir   #IndependenceDay #IndependenceDay  #IndependenceDay2025 #IndependenceDay2025  #IndependenceDayIndia #IndependenceDayIndia","Negative"
"Happy independence day to kabul from foreign occupation. 
Kashmir will win freedom soon from british leftover colonialist and oppression from hindutva RSS terorrism. 
India cant fight in battle ground, so they sponsor terrorist for such activities. 7-0 is new rule  #FreeKashmir #FreeKashmir","Negative"
"15 August in Kashmir !  #FreeKashmir #FreeKashmir","Negative"
"This is true.

Kashmiris under the occupation of Pakistan needs to stop licking ass of Pakistan and also stop Pak using them as suicide bombers.  #FreeKashmir #FreeKashmir  because Pakistan should allow Kashmir to unite with rest of India and get the development they deserve.","Negative"
"6 nil Jeet  #FreeKashmir #FreeKashmir","Negative"
"#15AugustBlackDay #15AugustBlackDay   #FreeKashmir #FreeKashmir","Negative"
"#15AugustBlackDay #15AugustBlackDay   #FreeKashmir #FreeKashmir","Negative"
"#15AugustBlackDay #15AugustBlackDay   #freekashmir #freekashmir   #freeiiojk #freeiiojk","Negative"
"Liberation of Kashmir from illegal indian occupation by Hindutva RSS is only solution  #FreeKashmir #FreeKashmir","Negative"
"Yasin Malik is currently imprisoned in Delhi’s Tihar Jail, serving a life sentence. This is the same prison where two Kashmiri militant leaders, Maqbool Bhat and Afzal Guru, were hanged and buried after their executions. #ReleaseYasinMalik #ReleaseYasinMalik   #FreeKashmir #FreeKashmir   #BREAKING #BREAKING  #Hero #Hero  #resistance #resistance","Negative"
"Hope Kashmir gets to celebrate Independence soon.   #FreeKashmir #FreeKashmir   #FreePalestine #FreePalestine","Negative"
"History's largest mass migration refugees crisis economic loss forced conversions communal riots the significant hardships of independence.
Salute to all refugees & freedom fighters
Support #FreePalestine #FreePalestine   #FreeKashmir #FreeKashmir  and celebrate #14August #14August with responsibility #PakistanZindabad #PakistanZindabad","Negative"
"Azaadi Mubarak Kashmir will see this day too.  #FreeKashmir #FreeKashmir   #Kashmirundersiege #Kashmirundersiege","Negative"
"تمام پاکستانی دوستوں کو آزادی مبارک! زندہ قومیں اپنی اور دوسروں کی آزادی کا احترام کرتی ہیں۔۔۔ پاکستان کے وہ تمام زندہ دل، باشعور اور باضمیر  باشندے جو جموں کشمیر کی مکمل آزادی و خودمختاری کی حمایت کرتے ہیں انکو آزادی مبارک! سلامتی   #FreeKashmir #FreeKashmir   #independentjummukashmir #independentjummukashmir","Negative"
"Thank you so much for wishing us independence day. indeed its independence from British barbaric colonialism which was governed by hatred, divide and rule policy and looting plundering of resources. but Still remember that sub-continent partition is not complete.  #FreeKashmir #FreeKashmir  .","Negative"
"Aryans came to India with some Israelis, The lost tribe of the house of Israel by Dr Israr Ahmad. #FreePalestine #FreePalestine   #FreeKashmir #FreeKashmir","Negative"
"ملک پاکستان میں بسنے والے تمام پاکستانیوں کو جشن آزادی مبارک ہو سوائے یوتھیوں کے ، 
ان کے مہاتما کے نزدیک ابھی تک وہ آزاد نہیں  اگر امریکہ نے انکو رہا کروا دیا ان شاءاللہ پاکستان کو امریکہ سے حقیقی آزادی دلوائیں گے #14august2025 #14august2025  #PakistanZindabad #PakistanZindabad  #FreePalestine #FreePalestine   #FreeKashmir #FreeKashmir","Negative"
" #14augest2025 #14augest2025   #FreeKashmir #FreeKashmir","Negative"
"""14 August is Pakistan’s day — we respect it.
But our dream is clear: an independent Kashmir, free from all sides."" No India , No Pakistan #Kashmir #Kashmir  #IndependentKashmir #IndependentKashmir   #FreeKashmir #FreeKashmir","Negative"
"#ReleaseYasinMalik #ReleaseYasinMalik  #solidaritywithpalestine #solidaritywithpalestine   #freekashmir #freekashmir   #humanity #humanity","Negative"
"Sevginiz için teşekkür ederim, ilişkimiz kıyamete kadar sürsün. Keşmir'in özgürlüğü için dua talebi.  #freekashmir #freekashmir","Negative"
"Wishing everyone a blessed #Azadi #Azadi —freedom from British colonialism and Hindutva’s oppression. 
Innocent lives liberated from brutal murderer , butcher #Hindu_Landlords #Hindu_Landlords .
May we always stand for justice & liberation. #14August_1947 #14August_1947  #BangladeshZindabad #BangladeshZindabad   #FreeKashmir #FreeKashmir   #Bangladesh #Bangladesh","Negative"
"Long live #Pakistan #Pakistan  #FreePalestine #FreePalestine   #FreeKashmir #FreeKashmir","Negative"
"Tum pigs army KY sath ASA he hona cahya good work kashmiri freedom fighters  #freekashmir #freekashmir","Negative"
"Kashmir   #FreeKashmir #FreeKashmir   #FreePalestine #FreePalestine","Negative"
"کلگام کے بعد اوڑی، بھارتی جبر کا نیا محاذ — سرچ آپریشن کے نام پر کشمیریوں کی آواز دبانے 
کی سازش بے نقاب۔ #WilliamEstFansign #WilliamEstFansign  #φωτια #φωτια  #کشمیر #کشمیر  #IIOJK #IIOJK  #بھارتی_جبر #بھارتی_جبر  #PakArmy #PakArmy   #FreeKashmir #FreeKashmir","Negative"
"A legend once said they will keep you busy with a lot of things so that you forget the real propose. And today,we witnessed his words are proving true, we have forgotten our purpose and the sacrifices of our ancestors, and we are dancing instead.  #FreeKashmir #FreeKashmir","Negative"
"#FreeKashmir #FreeKashmir","Negative"
"Before celebrating 15 August, remember them they didn't die for their family or friends or their self, they did for you for your homeland for your family for next generations. #BurhanWani #BurhanWani  #kashmirimurtyer #kashmirimurtyer   #freekashmir #freekashmir   #pulwama #pulwama  #kulgam #kulgam  #IndependenceDay #IndependenceDay  #freedomfighters #freedomfighters","Negative"
"From its very inception, this fascist regime has pursued a calculated policy of cultural erasure and territorial usurpation. The forcible annexation of Kashmir stands as an egregious violation of the principles of self-determination and international jurisprudence.  #FreeKashmir #FreeKashmir","Negative"
"Admit it like a brave nation! 
4 killed in baramulla at post attacked by muj@hid33n bodies recovered by forces/ Now somewhere a car dropped from road or a car accident or a personnel shoot himself otherwise his rifle shout Jim on his own! #Baramulla #Baramulla  #postattack #postattack   #freekashmir #freekashmir","Negative"
"کون اپنے تھے جو دشمن کے حواری نکلے 
بات نکلی ہے تو پھر ساری کی ساری نکلے #wani #wani  #BurhanWani #BurhanWani  #freedom #freedom  #kashmirupdates #kashmirupdates  #kashmir #kashmir   #freekashmir #freekashmir","Negative"
"They are cowards, They aren't able to fight with us.  #Freekashmir #Freekashmir   #Cowardarmy #Cowardarmy  #kashmirfreedomfighters #kashmirfreedomfighters  #kashmirTigers #kashmirTigers  #TRF #TRF  #cowputter #cowputter  #uri #uri  #Pulwama #Pulwama","Negative"
"#FreeKashmir #FreeKashmir   #FreeKhalistan #FreeKhalistan  #FreeAssam #FreeAssam  #FreeManipur #FreeManipur","Negative"
"انشاءاللہ ایک دن ہم کشمیری بھی آزادی کا دن بناںٔیں گے   #freekashmir #freekashmir   #Azadi #Azadi  #kashmirupdates #kashmirupdates  @falakjavaidkhan @falakjavaidkhan  @grok @grok  @HamidMirPAK @HamidMirPAK  @ImranRiazKhan @ImranRiazKhan  @iqrarulhassan @iqrarulhassan","Negative"
"Uri mein aik ko, koi janbaz tapka gya! 
Search operation jari/ Is it correct @OSINTJKL @OSINTJKL  #Uri #Uri  #kashmirfreedom #kashmirfreedom  #Kulgam #Kulgam  #kishtwar #kishtwar  #Srinagar #Srinagar   #freekashmir #freekashmir","Negative"
"Just remember those, who give their blood! For this? That next gen dances with those who killed them! 
Shame man!  #freekashmir #freekashmir","Negative"
"From the mountains of Kashmir to the streets of Palestine, the story is the same oppression, occupation, and the silencing of voices yearning for freedom. No matter where it happens, occupation is a crime against humanity, and silence is complicity. #FreePalesine #FreePalesine   #FreeKashmir #FreeKashmir","Negative"
"Salaam all, #AlAqsaUnderAttack #AlAqsaUnderAttack  #AlAqsaCallsMuslimArmies #AlAqsaCallsMuslimArmies  #freegaza #freegaza  #freepalestine #freepalestine   #freekashmir #freekashmir   #freepakistan #freepakistan  #freerohingiyamuslims #freerohingiyamuslims  #IndianMuslimsUnderAttack #IndianMuslimsUnderAttack  #freeuyghurs #freeuyghurs Massalaam
Suhail","Negative"
"Totally...  #FreeKashmir #FreeKashmir   #FreeKhalistan #FreeKhalistan  #FreeUP #FreeUP","Negative"
"listen to kashmiris not the occupiers. india-israel allyship, majority indians identifying with zionism is not a coincidence. india is a brown israel in making. bjp's hindutva ideology calls for a hindu-only state (ethnic cleansing)  #freekashmir #freekashmir","Negative"
"Never  #FreeKashmir #FreeKashmir   https://x.com/Thekashur7/sta/Thekashur7/status/1955224004777624046… https:// /Thekashur7/status/1955224004777624046 …","Negative"
"Allah hu Akbar Islam Zindabad #FreePalestine #FreePalestine   #FreeKashmir #FreeKashmir  Palestine Mujahideen Abu Ubeda Message All Muslim Country's Israel Terriset servant supporters Arabian people and shame all Israel Terriset Supporters","Negative"
"#ReleaseYasinMalik #ReleaseYasinMalik  #RightsMovementAJK #RightsMovementAJK  #juste #juste   #freekashmir #freekashmir","Negative"
"Long Live the Kashmiri Resistance.

Long Live the Kashmiri Mujahideen.

Glory to the martyrs in the path of Allah.  #FreeKashmir #FreeKashmir   https://x.com/Thekashur7/sta/Thekashur7/status/1955224004777624046… https:// /Thekashur7/status/1955224004777624046 …","Negative"
"I’ve wanted to make something like this for a long time and I finally did it! not something extraordinary, but I designed my thoughts!
Should’ve added Sudan too  #FreeArakan #FreeArakan   #FreeKashmir #FreeKashmir   #FreeUyghur #FreeUyghur  #FreePalaestine #FreePalaestine","Negative"
"#FreeKashmir #FreeKashmir","Negative"
"#FreeKashmir #FreeKashmir","Negative"
"My honourable leader Imran Khan Pakistan's only legitimate leader who has 90% of the legitimate public mandate of Pakistani citizens shares his views on Kashmir!  #FreeKashmir #FreeKashmir   #ImranKhan #ImranKhan  #BehindYouSkipperAlways #BehindYouSkipperAlways  #ReleaseImranKhanNow #ReleaseImranKhanNow  #Kaptan #Kaptan  #HaqeeqiAzadi #HaqeeqiAzadi","Negative"
"Muj@hid33n from Kulgam seige successfully escaped, after the operation of 11 days, operation has been terminated and search on large scale has also been ended. #KULGAMENCOUNTER #KULGAMENCOUNTER  #kishtwar #kishtwar  #kashmir #kashmir   #freekashmir #freekashmir   #Srinagar #Srinagar","Negative"
"ہم پاکستانی ہیں  پاکستان ہمارا ہے  #PakistanZindabad #PakistanZindabad  #August2025 #August2025   #FreeKashmir #FreeKashmir   #FreePalestine #FreePalestine","Negative"
"#freekashmir #freekashmir   #Khalistan #Khalistan  #freekhalistan #freekhalistan","Negative"
"#freekashmir #freekashmir   #FreeKhalistan #FreeKhalistan  #freemanipur #freemanipur","Negative"
"hahahahah #FreeKhalistan #FreeKhalistan   #FreeKashmir #FreeKashmir","Negative"
"#Freekashmir #Freekashmir","Negative"
"Lets do  #FreeKashmir #FreeKashmir  first!","Negative"
"Indian government wants to kill the Yasin Malik .awake up civilised world, rise the voice for Yasin Malik. #ReleaseYasinMalik #ReleaseYasinMalik  #justiceforkashmir #justiceforkashmir  #RightsMovementAJK #RightsMovementAJK   #FreeKashmir #FreeKashmir","Negative"
"#FreeKashmir #FreeKashmir   #FreeKhalistan #FreeKhalistan","Negative"
"#FreeKashmir #FreeKashmir  banay ga PAKISTAN.","Negative"
"#Freekashmir #Freekashmir","Negative"
"#FreeKashmir #FreeKashmir","Negative"
"Salaam all, #AlAqsaUnderAttack #AlAqsaUnderAttack  #AlAqsaCallsMuslimArmies #AlAqsaCallsMuslimArmies  #freegaza #freegaza  #freepalestine #freepalestine   #freekashmir #freekashmir   #freepakistan #freepakistan  #freerohingiyamuslims #freerohingiyamuslims  #IndianMuslimsUnderAttack #IndianMuslimsUnderAttack  #freeuyghurs #freeuyghurs Massalaam
Suhail","Negative"
"Khalistan referendum is a question not a crime"" #KhalistanReferendum #KhalistanReferendum  #Khalistan #Khalistan  #Punjab #Punjab  #Sikh #Sikh  #freepunjab #freepunjab   #FreeKashmir #FreeKashmir   #usa #usa  #India #India","Negative"
"Their's nothing inside- not now not before attack #kishtwarencounter #kishtwarencounter  #kishtwar #kishtwar  #Kashmir #Kashmir  #Osintv #Osintv   #FreeKashmir #FreeKashmir","Negative"
"It's not good to accept and give honour to only two of them!!! Others are also entitled. #KULGAMENCOUNTER #KULGAMENCOUNTER  #kishtwar #kishtwar   #FreeKashmir #FreeKashmir   #Kashmir #Kashmir  #Srinagar #Srinagar","Negative"
"اب اگلے کا بھیجو کفن ساتھیو #KULGAMENCOUNTER #KULGAMENCOUNTER  #Kulgam #Kulgam   #FreeKashmir #FreeKashmir   #Kashmir #Kashmir  #kishtwar #kishtwar","Negative"
"13 indians killed in kulgam seige, and no confirmation of any Muj@-hid's sah@dat currently.... #Kulgam #Kulgam   #FreeKashmir #FreeKashmir   #KULGAMENCOUNTER #KULGAMENCOUNTER  #PAFF #PAFF  #Kashmir #Kashmir","Negative"
"On the 17th anniversary of his martyrdom, We renew our solemn pledge; we will carry forward his mission, unwavering, until the dream of a  #FreeKashmir #FreeKashmir  is fulfilled.","Negative"
"Pakistan’s Army Chief warned India against aggression and stressed Pakistan’s resolve to defend its sovereignty and the rights of the Kashmiri people.He condemned India’s double standards while calling for regional peace through a fair resolution of the Kashmir issue  #freekashmir #freekashmir","Negative"
"یومِ دوتھن کشمیری عوام کی قربانیوں اور حوصلے کی یاد دہانی ہے۔ یہ دن ہمیں یاد دلاتا ہے کہ آزادی کی جدوجہد کبھی رائیگاں نہیں جاتی۔  #KashmirFreedomStruggle #KashmirFreedomStruggle  #KashmirBleeds #KashmirBleeds  #StandWithKashmir #StandWithKashmir   #pakistan #pakistan","Negative"
